name,time,formula,pos,sentences,terms,se1,se2,se3,str1,str2,str3
reut2-000.sgm-17.txt,122,binary,false,12,73,4,0,6,1.0,0.9309493362512629,0.894427190999918,
reut2-000.sgm-175.txt,64,binary,false,19,104,9,2,5,1.0,0.9128709291752775,0.9128709291752772,
reut2-000.sgm-251.txt,45,binary,false,17,87,15,1,9,1.0,0.9660917830792956,0.9309493362512629,
reut2-000.sgm-346.txt,47,binary,false,18,117,8,1,0,1.0,0.9999999999999991,0.9660917830792948,
reut2-000.sgm-357.txt,40,binary,false,18,93,14,16,1,1.0,0.9393364366277228,0.9074852129730292,
reut2-000.sgm-703.txt,32,binary,false,12,84,9,1,8,1.0,0.9999999999999973,0.9682458365518534,
reut2-000.sgm-909.txt,38,binary,false,12,97,1,7,5,1.0,0.9733285267845755,0.945905302926916,
reut2-000.sgm-954.txt,37,binary,false,12,111,9,0,1,1.0,0.917662935482247,0.888523316638639,
reut2-000.sgm-982.txt,50,binary,false,14,100,1,9,7,1.0,0.9045340337332901,0.8790490729915319,
reut2-001.sgm-212.txt,25,binary,false,12,76,8,7,2,1.0,0.8660254037844397,0.8366600265340758,
reut2-001.sgm-25.txt,32,binary,false,13,101,9,0,11,1.0,0.9682458365518537,0.8660254037844394,
reut2-001.sgm-497.txt,21,binary,false,16,82,1,2,5,1.0,0.9636241116594303,0.925820099772552,
reut2-001.sgm-732.txt,19,binary,false,15,67,6,1,5,1.0,0.953462589245592,0.9045340337332909,
reut2-001.sgm-745.txt,21,binary,false,15,95,6,0,7,1.0,0.9999999999999981,0.9074852129730275,
reut2-001.sgm-824.txt,23,binary,false,11,88,5,1,6,1.0,0.9428090415820631,0.9128709291752749,
reut2-002.sgm-35.txt,28,binary,false,16,102,9,5,0,1.0,0.9428090415820629,0.881917103688196,
reut2-002.sgm-562.txt,26,binary,false,15,128,1,0,2,1.0,0.9354143466934851,0.8897565210026096,
reut2-002.sgm-685.txt,37,binary,false,12,55,8,6,1,1.0,0.9607689228305233,0.8770580193070302,
reut2-002.sgm-741.txt,25,binary,false,13,99,8,2,5,1.0,0.9045340337332904,0.797724035217465,
reut2-002.sgm-782.txt,22,binary,false,15,75,4,0,12,1.0,0.9354143466934861,0.9354143466934854,
reut2-002.sgm-798.txt,22,binary,false,14,81,9,1,4,1.0,0.935414346693487,0.9354143466934856,
reut2-002.sgm-972.txt,20,binary,false,18,130,16,7,1,1.0,0.9574271077563379,0.8416254115301732,
reut2-002.sgm-985.txt,19,binary,false,12,101,0,4,6,1.0,0.8583950752789529,0.8583950752789528,
reut2-003.sgm-191.txt,23,binary,false,16,77,0,6,8,1.0,0.8164965809277264,0.8164965809277258,
reut2-003.sgm-282.txt,24,binary,false,15,118,1,7,9,1.0,0.9999999999999993,0.9718253158075498,
reut2-003.sgm-30.txt,18,binary,false,14,118,1,7,0,1.0,0.9088932591463851,0.9088932591463845,
reut2-003.sgm-437.txt,21,binary,false,12,72,3,1,0,1.0,0.9428090415820637,0.9128709291752769,
reut2-003.sgm-47.txt,28,binary,false,18,130,16,7,1,1.0,0.9574271077563379,0.8416254115301732,
reut2-003.sgm-492.txt,21,binary,false,15,91,12,8,9,1.0,0.9701425001453319,0.9074852129730313,
reut2-003.sgm-523.txt,20,binary,false,14,102,5,12,4,1.0,0.9534625892455952,0.9534625892455947,
reut2-003.sgm-536.txt,27,binary,false,13,103,4,1,7,1.0,0.9682458365518539,0.9013878188659986,
reut2-003.sgm-557.txt,27,binary,false,13,99,4,8,0,1.0,0.9999999999999998,0.9682458365518548,
reut2-003.sgm-567.txt,31,binary,false,12,92,2,1,7,1.0,0.9701425001453317,0.9701425001453317,
reut2-003.sgm-663.txt,27,binary,false,11,56,1,3,7,1.0,0.9393364366277258,0.9074852129730315,
reut2-003.sgm-76.txt,23,binary,false,13,67,2,10,8,1.0,0.9682458365518558,0.9013878188659976,
reut2-003.sgm-901.txt,26,binary,false,15,73,1,0,12,1.0,0.8944271909999159,0.8164965809277269,
reut2-004.sgm-309.txt,24,binary,false,13,61,1,0,9,1.0,0.9309493362512639,0.8563488385776754,
reut2-004.sgm-381.txt,28,binary,false,19,59,8,4,1,1.0,0.9486832980505137,0.8366600265340747,
reut2-004.sgm-424.txt,17,binary,false,17,89,5,14,12,1.0,0.9459053029269179,0.8583950752789525,
reut2-004.sgm-572.txt,18,binary,false,13,84,0,6,1,1.0,0.9428090415820639,0.942809041582063,
reut2-004.sgm-592.txt,17,binary,false,14,85,1,0,8,1.0,0.8885233166386383,0.827170191868511,
reut2-004.sgm-593.txt,25,binary,false,11,85,3,0,9,1.0,0.8790490729915318,0.852802865422441,
reut2-004.sgm-60.txt,20,binary,false,18,113,11,15,1,1.0,0.9013878188659975,0.8660254037844372,
reut2-004.sgm-723.txt,22,binary,false,15,130,5,13,0,1.0,0.9770084209183951,0.8790490729915317,
reut2-004.sgm-859.txt,20,binary,false,14,104,6,0,7,1.0,0.8897565210026097,0.8897565210026097,
reut2-004.sgm-905.txt,22,binary,false,12,69,10,9,2,1.0,0.9682458365518541,0.8291561975888497,
reut2-005.sgm-155.txt,19,binary,false,12,94,2,0,3,1.0,0.8819171036881965,0.8498365855987969,
reut2-005.sgm-189.txt,26,binary,false,12,102,1,2,5,1.0,0.8997354108424361,0.8451542547285165,
reut2-005.sgm-2.txt,17,binary,false,13,63,7,6,1,1.0,0.8944271909999163,0.856348838577675,
