name,time,formula,pos,sentences,terms,se1,se2,se3,str1,str2,str3
reut2-000.sgm-17.txt,16,gfidf,false,12,73,4,0,6,1.0,0.90771342502567,0.8721028496007174,
reut2-000.sgm-175.txt,15,gfidf,false,19,104,9,2,5,1.0,0.9298297335175582,0.9128709291752788,
reut2-000.sgm-251.txt,14,gfidf,false,17,87,15,1,9,1.0,0.9784719757905218,0.9437906233591961,
reut2-000.sgm-346.txt,15,gfidf,false,18,117,2,1,8,1.0,0.9455367444469518,0.9455367444469516,
reut2-000.sgm-357.txt,14,gfidf,false,18,93,14,16,1,1.0,0.9393364366277228,0.9074852129730292,
reut2-000.sgm-703.txt,16,gfidf,false,12,84,3,8,1,1.0,0.892964641456805,0.8690196669356124,
reut2-000.sgm-909.txt,14,gfidf,false,12,97,5,1,7,1.0,0.9455644975463989,0.9394492224162834,
reut2-000.sgm-954.txt,15,gfidf,false,12,111,9,0,1,1.0,0.9229582069908966,0.8606629658238726,
reut2-000.sgm-982.txt,17,gfidf,false,14,100,1,6,9,1.0,0.9766461740307181,0.8955259213287167,
reut2-001.sgm-212.txt,14,gfidf,false,12,76,8,7,1,1.0,0.8161972676800403,0.8130478259832993,
reut2-001.sgm-25.txt,14,gfidf,false,13,101,9,0,11,1.0,0.9682458365518537,0.8660254037844394,
reut2-001.sgm-497.txt,14,gfidf,false,16,82,2,1,5,1.0,0.945905302926918,0.8515551648780064,
reut2-001.sgm-732.txt,14,gfidf,false,15,67,6,1,5,1.0,0.9545859818116378,0.9069006524104937,
reut2-001.sgm-745.txt,14,gfidf,false,15,95,6,0,7,1.0,0.9778803607803971,0.9117291264405227,
reut2-001.sgm-824.txt,14,gfidf,false,11,88,5,6,1,1.0,0.9220672667342684,0.9152733916238933,
reut2-002.sgm-35.txt,15,gfidf,false,16,102,9,5,0,1.0,0.9471719017265688,0.9229582069908975,
reut2-002.sgm-562.txt,15,gfidf,false,15,128,1,0,2,1.0,0.9246414613573579,0.9100016000383601,
reut2-002.sgm-685.txt,14,gfidf,false,12,55,8,6,4,1.0,0.9676996811305858,0.8996265995293322,
reut2-002.sgm-741.txt,16,gfidf,false,13,99,8,2,5,1.0,0.9045340337332893,0.7977240352174638,
reut2-002.sgm-782.txt,14,gfidf,false,15,75,4,0,12,1.0,0.9402557298501021,0.9159700667688854,
reut2-002.sgm-798.txt,14,gfidf,false,14,81,9,4,1,1.0,0.9577843170029833,0.8624632275802497,
reut2-002.sgm-972.txt,15,gfidf,false,18,130,16,7,1,1.0,0.9652527974385566,0.8505172717997137,
reut2-002.sgm-985.txt,14,gfidf,false,12,101,0,3,9,1.0,0.8793864023620426,0.8576209345420636,
reut2-003.sgm-191.txt,14,gfidf,false,16,77,0,4,7,1.0,0.8946135105917704,0.885437744847144,
reut2-003.sgm-282.txt,15,gfidf,false,15,118,1,7,9,1.0,1.0,0.9718253158075499,
reut2-003.sgm-30.txt,14,gfidf,false,14,118,1,7,0,1.0,0.9103709505133837,0.9018411607325523,
reut2-003.sgm-437.txt,14,gfidf,false,12,72,3,1,0,1.0,0.7849091295105037,0.7696811903444322,
reut2-003.sgm-47.txt,19,gfidf,false,18,130,16,7,1,1.0,0.9652527974385566,0.8505172717997137,
reut2-003.sgm-492.txt,16,gfidf,false,15,91,8,1,12,1.0,0.9682458365518536,0.9459053029269172,
reut2-003.sgm-523.txt,14,gfidf,false,14,102,5,4,1,1.0,0.9534625892455918,0.9534625892455918,
reut2-003.sgm-536.txt,14,gfidf,false,13,103,4,9,1,1.0,0.9762812094883323,0.9682458365518545,
reut2-003.sgm-557.txt,15,gfidf,false,13,99,9,4,8,1.0,0.9833914904703055,0.9701425001453313,
reut2-003.sgm-567.txt,14,gfidf,false,12,92,2,1,7,1.0,0.9701425001453323,0.9701425001453323,
reut2-003.sgm-663.txt,14,gfidf,false,11,56,1,6,8,1.0,0.9163358093270139,0.9044112301401634,
reut2-003.sgm-76.txt,14,gfidf,false,13,67,2,10,8,1.0,0.9607728165895865,0.8301913990070008,
reut2-003.sgm-901.txt,15,gfidf,false,15,73,1,0,12,1.0,0.8970516303348646,0.8068423483216582,
reut2-004.sgm-309.txt,14,gfidf,false,13,61,1,0,3,1.0,0.9664804742167595,0.871658610004149,
reut2-004.sgm-381.txt,14,gfidf,false,19,59,8,4,6,1.0,0.8388253704102814,0.8036706794843592,
reut2-004.sgm-424.txt,15,gfidf,false,17,89,5,14,4,1.0,0.8370313412809705,0.8183591483665055,
reut2-004.sgm-572.txt,14,gfidf,false,13,84,6,0,1,1.0,0.9733285267845745,0.9176629354822464,
reut2-004.sgm-592.txt,14,gfidf,false,14,85,1,0,3,1.0,0.9068547007354577,0.8269203799973223,
reut2-004.sgm-593.txt,14,gfidf,false,11,85,3,0,9,1.0,0.9772687789866666,0.9319824808576529,
reut2-004.sgm-60.txt,15,gfidf,false,18,113,11,14,15,1.0,0.9038026336216054,0.7520092473281751,
reut2-004.sgm-723.txt,14,gfidf,false,15,130,5,13,7,1.0,0.9993435907500442,0.903358040992821,
reut2-004.sgm-859.txt,14,gfidf,false,14,104,6,7,0,1.0,0.9321686659114962,0.9262800162238293,
reut2-004.sgm-905.txt,14,gfidf,false,12,69,10,9,4,1.0,0.9868757981932698,0.8802468046440688,
reut2-005.sgm-155.txt,14,gfidf,false,12,94,2,1,8,1.0,0.8975274678557522,0.8827915878928166,
reut2-005.sgm-189.txt,18,gfidf,false,12,102,1,2,5,1.0,0.9658342616078205,0.8705912384567246,
reut2-005.sgm-2.txt,14,gfidf,false,13,63,7,6,1,1.0,0.9128709291752777,0.8819171036881971,
reut2-005.sgm-207.txt,14,gfidf,false,19,135,9,15,5,1.0,0.9795551105558569,0.9124485970087105,
reut2-005.sgm-234.txt,14,gfidf,false,14,99,9,1,11,1.0,0.9311397728567626,0.8154100913168031,
reut2-005.sgm-264.txt,14,gfidf,false,20,127,1,0,10,1.0,0.9642857142857149,0.9285714285714272,
reut2-005.sgm-457.txt,19,gfidf,false,16,108,8,6,7,1.0,0.8498365855987976,0.8432740427115675,
reut2-005.sgm-553.txt,16,gfidf,false,16,84,12,13,11,1.0,0.8520724131552876,0.8439957151095558,
reut2-005.sgm-770.txt,14,gfidf,false,15,97,3,4,0,1.0,0.8944271909999162,0.8062257748298546,
reut2-005.sgm-792.txt,14,gfidf,false,12,82,9,1,2,1.0,0.9074184934778138,0.9074184934778138,
reut2-005.sgm-86.txt,14,gfidf,false,11,105,3,8,6,1.0,0.7430957105647696,0.7355513962828868,
reut2-005.sgm-863.txt,17,gfidf,false,15,97,3,4,0,1.0,0.8944271909999162,0.8062257748298546,
reut2-005.sgm-942.txt,14,gfidf,false,12,93,0,8,3,1.0,0.9999999999999998,0.8545819226556532,
reut2-005.sgm-943.txt,15,gfidf,false,16,84,1,0,10,1.0,0.97273246182398,0.9562721794215295,
