name,time,formula,pos,sentences,terms,se1,se2,se3,str1,str2,str3
reut2-000.sgm-17.txt,46,count,true,12,51,4,6,0,1.0,0.9128709291752791,0.8660254037844397,
reut2-000.sgm-175.txt,26,count,true,19,87,9,2,5,1.0,0.874474632195206,0.8401680504168058,
reut2-000.sgm-251.txt,27,count,true,17,59,15,13,1,1.0,0.9574271077563371,0.9128709291752765,
reut2-000.sgm-346.txt,28,count,true,18,88,1,2,0,1.0,0.9999999999999982,0.9999999999999982,
reut2-000.sgm-357.txt,24,count,true,18,64,14,16,1,1.0,0.8660254037844413,0.7905694150420957,
reut2-000.sgm-703.txt,24,count,true,12,59,3,1,9,1.0,0.8997354108424368,0.8728715609439687,
reut2-000.sgm-909.txt,25,count,true,12,74,5,2,1,1.0,0.8997354108424371,0.8728715609439679,
reut2-000.sgm-954.txt,24,count,true,12,80,0,9,6,1.0,0.966091783079296,0.8563488385776749,
reut2-000.sgm-982.txt,31,count,true,14,87,6,1,9,1.0,0.8660254037844374,0.8451542547285161,
reut2-001.sgm-212.txt,25,count,true,12,53,7,8,3,1.0,0.9701425001453318,0.9074852129730301,
reut2-001.sgm-25.txt,29,count,true,13,76,9,0,5,1.0,0.9258200997725512,0.8864052604279187,
reut2-001.sgm-497.txt,25,count,true,16,60,2,1,6,1.0,0.8944271909999156,0.8563488385776747,
reut2-001.sgm-732.txt,25,count,true,15,57,6,0,1,1.0,0.9534625892455924,0.9045340337332913,
reut2-001.sgm-745.txt,24,count,true,15,69,6,0,4,1.0,0.9999999999999999,0.9574271077563364,
reut2-001.sgm-824.txt,26,count,true,11,59,5,1,7,1.0,0.8271701918685115,0.827170191868511,
reut2-002.sgm-35.txt,25,count,true,16,69,9,0,8,1.0,0.8944271909999162,0.8563488385776753,
reut2-002.sgm-562.txt,27,count,true,15,89,2,0,1,1.0,0.9219544457292889,0.8944271909999155,
reut2-002.sgm-685.txt,23,count,true,12,44,8,4,6,1.0,0.9428090415820637,0.8498365855987974,
reut2-002.sgm-741.txt,26,count,true,13,69,2,8,5,1.0,0.9636241116594307,0.9636241116594303,
reut2-002.sgm-782.txt,26,count,true,15,49,0,12,4,1.0,0.8291561975888501,0.8291561975888491,
reut2-002.sgm-798.txt,23,count,true,14,64,4,11,9,1.0,0.942809041582066,0.8164965809277257,
reut2-002.sgm-972.txt,30,count,true,18,100,16,7,14,1.0,0.768706114785807,0.7687061147858063,
reut2-002.sgm-985.txt,26,count,true,12,70,0,7,4,1.0,0.722315118514615,0.722315118514615,
reut2-003.sgm-191.txt,23,count,true,16,51,0,6,10,1.0,0.8320502943378438,0.7844645405527371,
reut2-003.sgm-282.txt,28,count,true,15,83,0,7,1,1.0,0.9636241116594324,0.9636241116594304,
reut2-003.sgm-30.txt,27,count,true,14,82,7,0,1,1.0,0.9176629354822468,0.9176629354822468,
reut2-003.sgm-437.txt,28,count,true,12,56,3,0,1,1.0,0.8846517369293827,0.7518094115561113,
reut2-003.sgm-47.txt,30,count,true,18,100,16,7,14,1.0,0.768706114785807,0.7687061147858063,
reut2-003.sgm-492.txt,24,count,true,15,67,12,1,9,1.0,0.9999999999999982,0.9607689228305223,
reut2-003.sgm-523.txt,25,count,true,14,77,1,12,4,1.0,0.9999999999999991,0.9701425001453318,
reut2-003.sgm-536.txt,28,count,true,13,73,0,9,2,1.0,0.9354143466934868,0.7905694150420972,
reut2-003.sgm-557.txt,25,count,true,13,65,4,9,0,1.0,0.9198662110078004,0.9198662110078001,
reut2-003.sgm-567.txt,23,count,true,12,71,2,0,7,1.0,0.9660917830792938,0.930949336251261,
reut2-003.sgm-663.txt,26,count,true,11,44,0,1,8,1.0,0.8717797887081341,0.7211102550927978,
reut2-003.sgm-76.txt,29,count,true,13,50,2,10,9,1.0,0.9459053029269157,0.8583950752789514,
reut2-003.sgm-901.txt,24,count,true,15,57,1,0,12,1.0,0.999999999999999,0.9128709291752771,
reut2-004.sgm-309.txt,23,count,true,13,41,5,3,1,1.0,0.9636241116594318,0.8864052604279181,
reut2-004.sgm-381.txt,26,count,true,19,33,8,4,13,1.0,0.8770580193070294,0.7844645405527356,
reut2-004.sgm-424.txt,29,count,true,17,63,5,12,0,1.0,0.7698003589195007,0.7200822998230945,
reut2-004.sgm-572.txt,24,count,true,13,59,6,0,8,1.0,0.7745966692414834,0.7416198487095665,
reut2-004.sgm-592.txt,31,count,true,14,69,0,1,7,1.0,0.8997354108424389,0.7559289460184541,
reut2-004.sgm-593.txt,27,count,true,11,61,7,0,3,1.0,0.9813067629253167,0.8819171036881962,
reut2-004.sgm-60.txt,35,count,true,18,81,11,0,14,1.0,0.7071067811865475,0.7071067811865468,
reut2-004.sgm-723.txt,35,count,true,15,85,12,0,5,1.0,0.9045340337332912,0.8528028654224419,
reut2-004.sgm-859.txt,31,count,true,14,76,3,5,11,1.0,0.9999999999999998,0.9999999999999998,
reut2-004.sgm-905.txt,26,count,true,12,50,9,10,4,1.0,0.9309493362512623,0.8563488385776751,
reut2-005.sgm-155.txt,32,count,true,12,67,2,0,4,1.0,0.886405260427918,0.886405260427918,
reut2-005.sgm-189.txt,31,count,true,12,71,5,4,2,1.0,0.999999999999999,0.966091783079293,
reut2-005.sgm-2.txt,24,count,true,13,41,7,8,6,1.0,0.6276459144608476,0.522232967867095,
reut2-005.sgm-207.txt,33,count,true,19,101,9,5,15,1.0,0.9128709291752761,0.8819171036881961,
reut2-005.sgm-234.txt,38,count,true,14,78,9,11,2,1.0,0.9354143466934867,0.9354143466934848,
reut2-005.sgm-264.txt,32,count,true,20,86,1,10,17,1.0,0.8819171036881969,0.8164965809277264,
reut2-005.sgm-457.txt,28,count,true,16,78,8,0,6,1.0,0.8819171036881983,0.8819171036881966,
reut2-005.sgm-553.txt,30,count,true,16,63,12,10,0,1.0,0.6593804733957888,0.6255432421712255,
reut2-005.sgm-770.txt,29,count,true,15,78,3,4,0,1.0,0.8744746321952069,0.8744746321952063,
reut2-005.sgm-792.txt,33,count,true,12,60,9,5,8,1.0,0.8944271909999165,0.8944271909999161,
reut2-005.sgm-86.txt,26,count,true,11,76,3,8,6,1.0,0.6859943405700353,0.6859943405700348,
reut2-005.sgm-863.txt,32,count,true,15,78,3,4,0,1.0,0.8744746321952069,0.8744746321952063,
reut2-005.sgm-942.txt,27,count,true,12,68,8,0,3,1.0,0.9486832980505141,0.8660254037844387,
reut2-005.sgm-943.txt,30,count,true,16,62,5,1,0,1.0,0.9718253158075496,0.8498365855987973,
reut2-006.sgm-136.txt,27,count,true,13,67,1,5,9,1.0,0.9660917830792953,0.9309493362512625,
reut2-006.sgm-214.txt,30,count,true,13,79,9,0,8,1.0,0.9128709291752781,0.9128709291752769,
reut2-006.sgm-224.txt,37,count,true,16,67,13,1,11,1.0,0.8819171036881961,0.7817359599705708,
reut2-006.sgm-362.txt,30,count,true,13,52,7,11,6,1.0,0.8944271909999171,0.894427190999916,
reut2-006.sgm-431.txt,27,count,true,11,53,1,6,4,1.0,0.901387818865997,0.8660254037844383,
reut2-006.sgm-580.txt,28,count,true,12,57,5,9,10,1.0,0.8271701918685119,0.7947194142390271,
reut2-006.sgm-795.txt,35,count,true,11,68,1,9,0,1.0,0.9999999999999998,0.8043996665398438,
reut2-007.sgm-154.txt,32,count,true,12,61,6,0,4,1.0,0.8583950752789528,0.858395075278952,
reut2-007.sgm-174.txt,32,count,true,20,57,14,10,8,1.0,0.9999999999999996,0.9486832980505135,
reut2-007.sgm-262.txt,29,count,true,16,61,0,10,11,1.0,0.9393364366277237,0.874474632195206,
reut2-007.sgm-36.txt,27,count,true,17,57,6,7,11,1.0,0.8660254037844387,0.8164965809277254,
reut2-007.sgm-485.txt,29,count,true,17,52,1,3,0,1.0,0.9701425001453322,0.8401680504168053,
reut2-007.sgm-537.txt,33,count,true,12,60,9,2,7,1.0,0.9999999999999996,0.9636241116594311,
reut2-007.sgm-539.txt,24,count,true,15,50,7,1,0,1.0,0.9574271077563385,0.9574271077563378,
reut2-007.sgm-546.txt,26,count,true,18,63,8,0,11,1.0,0.790569415042094,0.7500000000000002,
reut2-007.sgm-594.txt,26,count,true,13,54,11,0,3,1.0,0.9999999999999998,0.9128709291752778,
reut2-007.sgm-801.txt,30,count,true,23,71,1,16,11,1.0,0.8401680504168073,0.8401680504168069,
reut2-007.sgm-971.txt,25,count,true,14,58,3,0,1,1.0,0.9682458365518548,0.9013878188659976,
reut2-007.sgm-976.txt,27,count,true,12,49,2,6,0,1.0,0.807572853087248,0.7518094115561132,
reut2-008.sgm-113.txt,27,count,true,11,60,0,5,1,1.0,0.7745966692414838,0.7416198487095673,
reut2-008.sgm-140.txt,22,count,true,11,78,1,9,3,1.0,0.9219544457292871,0.7745966692414832,
reut2-008.sgm-389.txt,32,count,true,12,65,4,10,1,1.0,0.836660026534074,0.7416198487095653,
reut2-008.sgm-484.txt,26,count,true,13,65,4,10,5,1.0,0.8728715609439701,0.8164965809277267,
reut2-008.sgm-515.txt,23,count,true,11,52,7,9,3,1.0,0.948683298050514,0.9486832980505137,
reut2-008.sgm-599.txt,27,count,true,14,77,2,6,8,1.0,0.9636241116594308,0.8864052604279175,
reut2-008.sgm-614.txt,26,count,true,15,51,13,1,12,1.0,0.6770032003863301,0.6123724356957952,
reut2-008.sgm-704.txt,25,count,true,16,74,11,0,12,1.0,0.9733285267845755,0.9459053029269167,
reut2-008.sgm-705.txt,25,count,true,13,31,5,11,1,1.0,0.7416198487095653,0.6324555320336761,
reut2-008.sgm-706.txt,27,count,true,15,65,6,9,5,1.0,0.9574271077563358,0.9128709291752746,
reut2-008.sgm-71.txt,23,count,true,13,65,6,1,4,1.0,0.8498365855987973,0.8164965809277254,
reut2-008.sgm-814.txt,27,count,true,13,86,1,11,3,1.0,0.8885233166386394,0.8885233166386385,
reut2-008.sgm-880.txt,26,count,true,13,67,10,7,3,1.0,0.9176629354822463,0.8583950752789516,
reut2-008.sgm-939.txt,26,count,true,16,69,6,1,0,1.0,0.9293203772845882,0.7977240352174666,
reut2-008.sgm-99.txt,27,count,true,16,54,4,8,12,1.0,0.7416198487095661,0.6708203932499366,
reut2-009.sgm-207.txt,26,count,true,13,61,8,0,6,1.0,0.874474632195207,0.7669649888473706,
reut2-009.sgm-405.txt,28,count,true,18,77,6,3,14,1.0,0.8660254037844403,0.6846531968814583,
reut2-009.sgm-463.txt,23,count,true,12,60,6,2,9,1.0,0.9258200997725489,0.8451542547285154,
reut2-009.sgm-534.txt,24,count,true,11,66,0,1,4,1.0,0.8744746321952055,0.8043996665398434,
reut2-009.sgm-54.txt,24,count,true,15,94,11,9,7,1.0,0.9999999999999998,0.9999999999999992,
reut2-009.sgm-582.txt,28,count,true,12,66,2,3,9,1.0,0.9759000729485336,0.8728715609439701,
reut2-009.sgm-616.txt,26,count,true,18,70,14,16,9,1.0,0.9660917830792962,0.9309493362512631,
reut2-009.sgm-671.txt,24,count,true,11,61,0,3,5,1.0,0.9718253158075508,0.8498365855987986,
reut2-009.sgm-687.txt,23,count,true,19,52,3,16,0,1.0,0.6882472016116841,0.6488856845230501,
reut2-009.sgm-700.txt,24,count,true,13,70,1,5,10,1.0,0.8819171036881978,0.7453559924999309,
reut2-009.sgm-703.txt,24,count,true,16,62,0,7,4,1.0,0.7559289460184544,0.7559289460184542,
reut2-009.sgm-768.txt,26,count,true,13,65,5,4,10,1.0,0.9607689228305231,0.8770580193070298,
reut2-009.sgm-769.txt,24,count,true,13,44,5,0,9,1.0,0.957427107756338,0.9574271077563371,
reut2-009.sgm-781.txt,38,count,true,18,80,0,5,11,1.0,0.9428090415820625,0.8819171036881972,
reut2-010.sgm-121.txt,23,count,true,11,61,4,5,0,1.0,0.9813067629253166,0.7200822998230958,
reut2-010.sgm-132.txt,29,count,true,15,59,9,7,3,1.0,0.9258200997725515,0.8451542547285164,
reut2-010.sgm-140.txt,23,count,true,14,56,0,5,1,1.0,0.9013878188659974,0.9013878188659966,
reut2-010.sgm-29.txt,28,count,true,16,59,1,14,12,1.0,0.8885233166386384,0.8583950752789509,
reut2-010.sgm-381.txt,23,count,true,16,56,8,5,2,1.0,0.9718253158075523,0.6666666666666666,
reut2-010.sgm-444.txt,27,count,true,19,81,2,8,13,1.0,0.9999999999999993,0.9074852129730301,
