name,time,formula,pos,sentences,terms,se1,se2,se3,str1,str2,str3
reut2-000.sgm-17.txt,23,logEntropy,true,12,51,4,6,0,1.0,0.9037146751856995,0.8573390185518178,
reut2-000.sgm-175.txt,25,logEntropy,true,19,87,9,2,5,1.0,0.8744746321952053,0.8401680504168058,
reut2-000.sgm-251.txt,26,logEntropy,true,17,59,15,13,1,1.0,0.9574271077563378,0.912870929175277,
reut2-000.sgm-346.txt,24,logEntropy,true,18,88,1,0,8,1.0,0.9999999999999994,0.9574271077563378,
reut2-000.sgm-357.txt,24,logEntropy,true,18,64,14,16,1,1.0,0.8660254037844402,0.7905694150420943,
reut2-000.sgm-703.txt,24,logEntropy,true,12,59,3,1,9,1.0,0.9424277173763647,0.9241409067572149,
reut2-000.sgm-909.txt,23,logEntropy,true,12,74,5,1,2,1.0,0.9048177636141367,0.8725793082898688,
reut2-000.sgm-954.txt,24,logEntropy,true,12,80,9,0,6,1.0,0.9958373257188959,0.8787682123287152,
reut2-000.sgm-982.txt,30,logEntropy,true,14,87,6,1,9,1.0,0.9361570491210135,0.9192738457635963,
reut2-001.sgm-212.txt,25,logEntropy,true,12,53,7,8,3,1.0,0.9916926987700028,0.9105607705539097,
reut2-001.sgm-25.txt,27,logEntropy,true,13,76,9,0,7,1.0,0.9258200997725516,0.886405260427919,
reut2-001.sgm-497.txt,24,logEntropy,true,16,60,1,2,6,1.0,0.9741007496864544,0.9163602590688807,
reut2-001.sgm-732.txt,23,logEntropy,true,15,57,6,1,0,1.0,0.906268707764399,0.8965817946670656,
reut2-001.sgm-745.txt,23,logEntropy,true,15,69,0,6,7,1.0,0.9999999999999997,0.957427107756337,
reut2-001.sgm-824.txt,25,logEntropy,true,11,59,5,1,6,1.0,0.8739709898693099,0.8149304640087487,
reut2-002.sgm-35.txt,24,logEntropy,true,16,69,9,0,8,1.0,0.9482206875743731,0.8653414066439674,
reut2-002.sgm-562.txt,25,logEntropy,true,15,89,2,0,1,1.0,0.9719387796949025,0.9486002002818362,
reut2-002.sgm-685.txt,22,logEntropy,true,12,44,8,4,6,1.0,0.9280238262238628,0.8772580585258316,
reut2-002.sgm-741.txt,26,logEntropy,true,13,69,2,8,5,1.0,0.9636241116594306,0.9636241116594303,
reut2-002.sgm-782.txt,25,logEntropy,true,15,49,0,12,4,1.0,0.8639038842416127,0.863903884241612,
reut2-002.sgm-798.txt,23,logEntropy,true,14,64,4,11,9,1.0,0.9030908306263802,0.8902187890366523,
reut2-002.sgm-972.txt,29,logEntropy,true,18,100,16,14,7,1.0,0.7734210962130103,0.7687061147858052,
reut2-002.sgm-985.txt,25,logEntropy,true,12,70,0,7,4,1.0,0.7590452973044985,0.7590452973044982,
reut2-003.sgm-191.txt,23,logEntropy,true,16,51,0,6,8,1.0,0.8759121419730791,0.8268336696610472,
reut2-003.sgm-282.txt,27,logEntropy,true,15,83,0,7,1,1.0,0.9636241116594313,0.9636241116594293,
reut2-003.sgm-30.txt,24,logEntropy,true,14,82,7,1,0,1.0,0.9480117929581717,0.9419135924890769,
reut2-003.sgm-437.txt,31,logEntropy,true,12,56,3,0,1,1.0,0.8799780585046147,0.8016845914745725,
reut2-003.sgm-47.txt,32,logEntropy,true,18,100,16,14,7,1.0,0.7734210962130103,0.7687061147858052,
reut2-003.sgm-492.txt,23,logEntropy,true,15,67,12,1,9,1.0,0.9760461873265993,0.9607689228305221,
reut2-003.sgm-523.txt,27,logEntropy,true,14,77,12,1,4,1.0,0.9711800097174644,0.9701425001453313,
reut2-003.sgm-536.txt,26,logEntropy,true,13,73,0,9,2,1.0,0.8978221400668486,0.8144239289235148,
reut2-003.sgm-557.txt,24,logEntropy,true,13,65,4,0,8,1.0,0.9198662110078007,0.9198662110077986,
reut2-003.sgm-567.txt,22,logEntropy,true,12,71,2,0,7,1.0,0.9660917830792967,0.9309493362512633,
reut2-003.sgm-663.txt,25,logEntropy,true,11,44,0,1,8,1.0,0.9345913688406355,0.8187735877306855,
reut2-003.sgm-76.txt,28,logEntropy,true,13,50,2,10,9,1.0,0.9657793344570573,0.8705355149650725,
reut2-003.sgm-901.txt,25,logEntropy,true,15,57,1,0,12,1.0,0.9497138993857119,0.9056031707206005,
reut2-004.sgm-309.txt,22,logEntropy,true,13,41,5,3,1,1.0,0.967574376420308,0.9610513089329009,
reut2-004.sgm-381.txt,24,logEntropy,true,19,33,8,4,13,1.0,0.9594617953378445,0.8446971364140439,
