name,time,formula,pos,sentences,terms,se1,se2,se3,str1,str2,str3
reut2-000.sgm-17.txt,71,tfidf,true,12,51,6,9,2,1.0,0.9733285267845744,0.8890927004309019,
reut2-000.sgm-175.txt,25,tfidf,true,19,87,9,2,5,1.0,0.8546800032908475,0.7892994919593008,
reut2-000.sgm-251.txt,40,tfidf,true,17,59,14,13,15,1.0,0.9030114547999911,0.816097803575035,
reut2-000.sgm-346.txt,26,tfidf,true,18,88,1,8,2,1.0,0.9980278275972532,0.9082227983752762,
reut2-000.sgm-357.txt,25,tfidf,true,18,64,14,15,16,1.0,0.8450363728317538,0.6931624615105892,
reut2-000.sgm-703.txt,24,tfidf,true,12,59,3,4,8,1.0,0.8195789494606491,0.782595329731564,
reut2-000.sgm-909.txt,23,tfidf,true,12,74,5,1,8,1.0,0.8055980041883692,0.7190887532708041,
reut2-000.sgm-954.txt,26,tfidf,true,12,80,6,9,5,1.0,0.9900823995480056,0.9381454892842196,
reut2-000.sgm-982.txt,31,tfidf,true,14,87,6,1,9,1.0,0.8284415198639741,0.735606082136414,
reut2-001.sgm-212.txt,24,tfidf,true,12,53,7,8,5,1.0,0.8649828717107148,0.833176319046856,
reut2-001.sgm-25.txt,27,tfidf,true,13,76,9,11,0,1.0,0.9631077829979932,0.8591632905848463,
reut2-001.sgm-497.txt,24,tfidf,true,16,60,1,2,10,1.0,0.928840728025649,0.7453559924999288,
reut2-001.sgm-732.txt,24,tfidf,true,15,57,6,1,10,1.0,0.8859125097980155,0.8526952086820752,
reut2-001.sgm-745.txt,24,tfidf,true,15,69,6,11,7,1.0,0.9470086572072085,0.9343531843023138,
reut2-001.sgm-824.txt,23,tfidf,true,11,59,5,1,7,1.0,0.833053540677233,0.7864658990409072,
reut2-002.sgm-35.txt,25,tfidf,true,16,69,9,13,8,1.0,0.9802747143192037,0.8539902593456931,
reut2-002.sgm-562.txt,27,tfidf,true,15,89,1,0,3,1.0,0.9992984389404785,0.956145465676705,
reut2-002.sgm-685.txt,23,tfidf,true,12,44,6,1,4,1.0,0.9260517530428557,0.8284630568671001,
reut2-002.sgm-741.txt,23,tfidf,true,13,69,2,8,5,1.0,0.8216610636712073,0.7764875286317877,
reut2-002.sgm-782.txt,26,tfidf,true,15,49,4,0,12,1.0,0.9689042833036099,0.9410179621585191,
reut2-002.sgm-798.txt,23,tfidf,true,14,64,4,1,3,1.0,0.9174844836714011,0.9159087776022716,
reut2-002.sgm-972.txt,29,tfidf,true,18,100,16,1,7,1.0,0.6721610886066762,0.6551765734755525,
reut2-002.sgm-985.txt,25,tfidf,true,12,70,0,6,4,1.0,0.850333112929114,0.8245521359688112,
reut2-003.sgm-191.txt,25,tfidf,true,16,51,9,7,10,1.0,0.946864152948002,0.9468641529480009,
reut2-003.sgm-282.txt,27,tfidf,true,15,83,1,11,9,1.0,0.9856680485722805,0.9747808104689488,
reut2-003.sgm-30.txt,24,tfidf,true,14,82,1,12,7,1.0,0.9364856366189444,0.9148215103078463,
reut2-003.sgm-437.txt,30,tfidf,true,12,56,3,7,1,1.0,0.6580316790522434,0.5854769324998156,
reut2-003.sgm-47.txt,31,tfidf,true,18,100,16,1,7,1.0,0.6721610886066762,0.6551765734755525,
reut2-003.sgm-492.txt,23,tfidf,true,15,67,1,12,9,1.0,0.9592411453946018,0.8597901211370597,
reut2-003.sgm-523.txt,24,tfidf,true,14,77,1,5,8,1.0,0.9734776617497481,0.8692798272199798,
reut2-003.sgm-536.txt,26,tfidf,true,13,73,0,9,2,1.0,0.9839989676081813,0.941123948114321,
reut2-003.sgm-557.txt,24,tfidf,true,13,65,9,8,4,1.0,0.9004039628872337,0.8933865201406295,
reut2-003.sgm-567.txt,22,tfidf,true,12,71,2,7,1,1.0,0.9190658563977747,0.8114265559567746,
reut2-003.sgm-663.txt,24,tfidf,true,11,44,1,0,4,1.0,0.6543889665663133,0.3664897715505887,
reut2-003.sgm-76.txt,27,tfidf,true,13,50,2,10,9,1.0,0.9207903573086719,0.6408852901943245,
reut2-003.sgm-901.txt,23,tfidf,true,15,57,12,13,1,1.0,0.8842821310068651,0.8540042788362818,
reut2-004.sgm-309.txt,23,tfidf,true,13,41,9,1,5,1.0,0.9436047799076991,0.8389566151286861,
reut2-004.sgm-381.txt,24,tfidf,true,19,33,4,8,13,1.0,0.7860506648228179,0.783376510036319,
reut2-004.sgm-424.txt,28,tfidf,true,17,63,5,4,0,1.0,0.9174929504787502,0.7788115206157438,
reut2-004.sgm-572.txt,23,tfidf,true,13,59,8,6,1,1.0,0.9578592122203788,0.858605830691879,
reut2-004.sgm-592.txt,23,tfidf,true,14,69,1,0,3,1.0,0.7647864598905806,0.7518917987560793,
reut2-004.sgm-593.txt,25,tfidf,true,11,61,3,0,5,1.0,0.8971796563845,0.801839333721926,
reut2-004.sgm-60.txt,28,tfidf,true,18,81,11,14,15,1.0,0.8037687955147379,0.7484896983637932,
reut2-004.sgm-723.txt,28,tfidf,true,15,85,5,7,0,1.0,0.9933741195159491,0.9455228913438007,
reut2-004.sgm-859.txt,26,tfidf,true,14,76,7,5,6,1.0,0.9402609952303894,0.9172108456003492,
reut2-004.sgm-905.txt,24,tfidf,true,12,50,4,10,9,1.0,0.8956666541838451,0.8765942067814512,
reut2-005.sgm-155.txt,25,tfidf,true,12,67,2,4,0,1.0,0.926110354953931,0.8650024884370057,
reut2-005.sgm-189.txt,24,tfidf,true,12,71,2,5,0,1.0,0.8213654170497818,0.7691416952476454,
reut2-005.sgm-2.txt,22,tfidf,true,13,41,6,4,1,1.0,0.9703690852537303,0.8737897658688404,
reut2-005.sgm-207.txt,29,tfidf,true,19,101,5,7,9,1.0,0.9809526265114684,0.9776596775952026,
reut2-005.sgm-234.txt,27,tfidf,true,14,78,11,9,5,1.0,0.9740346811527403,0.8298652116956046,
reut2-005.sgm-264.txt,26,tfidf,true,20,86,1,13,18,1.0,0.9302605094190627,0.7721099961494102,
reut2-005.sgm-457.txt,25,tfidf,true,16,78,8,6,14,1.0,0.9817197079134474,0.9065797220613468,
reut2-005.sgm-553.txt,28,tfidf,true,16,63,10,12,0,1.0,0.9270572883845113,0.8620650475337693,
reut2-005.sgm-770.txt,30,tfidf,true,15,78,4,3,0,1.0,0.9612241456704114,0.8701580183247833,
reut2-005.sgm-792.txt,24,tfidf,true,12,60,9,8,5,1.0,0.9530664960753,0.9363717379053244,
reut2-005.sgm-86.txt,23,tfidf,true,11,76,3,8,6,1.0,0.7354628187167102,0.6859633937611882,
reut2-005.sgm-863.txt,26,tfidf,true,15,78,4,3,0,1.0,0.9612241456704114,0.8701580183247833,
reut2-005.sgm-942.txt,21,tfidf,true,12,68,3,0,5,1.0,0.8300326568388011,0.8214754611646331,
reut2-005.sgm-943.txt,23,tfidf,true,16,62,10,0,1,1.0,0.870025542409213,0.8503885351183073,
reut2-006.sgm-136.txt,24,tfidf,true,13,67,5,9,1,1.0,0.9919891900577782,0.9643466902556843,
reut2-006.sgm-214.txt,24,tfidf,true,13,79,9,0,8,1.0,0.9091952763387232,0.8477700877591724,
reut2-006.sgm-224.txt,26,tfidf,true,16,67,5,2,1,1.0,0.9420221153156997,0.9321679083550674,
reut2-006.sgm-362.txt,24,tfidf,true,13,52,7,11,6,1.0,0.9146591207600476,0.8124842884353204,
reut2-006.sgm-431.txt,23,tfidf,true,11,53,1,6,8,1.0,0.9397600722767985,0.8023439736546445,
reut2-006.sgm-580.txt,24,tfidf,true,12,57,5,1,9,1.0,0.8737452293033984,0.7057726162599361,
reut2-006.sgm-795.txt,24,tfidf,true,11,68,1,9,2,1.0,0.9483888130836016,0.9092940352042908,
reut2-007.sgm-154.txt,25,tfidf,true,12,61,6,0,10,1.0,0.7975091869829055,0.7367087811979294,
reut2-007.sgm-174.txt,26,tfidf,true,20,57,8,9,10,1.0,0.9918143234365557,0.9890707100936811,
reut2-007.sgm-262.txt,26,tfidf,true,16,61,0,10,4,1.0,0.9830079928867309,0.9590760962523405,
reut2-007.sgm-36.txt,25,tfidf,true,17,57,6,7,11,1.0,0.9242890368262763,0.8373572748460397,
reut2-007.sgm-485.txt,23,tfidf,true,17,52,1,3,0,1.0,0.9705878461888366,0.7777039362888645,
reut2-007.sgm-537.txt,23,tfidf,true,12,60,3,2,0,1.0,0.9230197926852861,0.8633478806034978,
reut2-007.sgm-539.txt,22,tfidf,true,15,50,13,0,2,1.0,0.8609990966571585,0.8579691784155838,
reut2-007.sgm-546.txt,25,tfidf,true,18,63,8,11,0,1.0,0.9632644860306493,0.8747808777071734,
reut2-007.sgm-594.txt,25,tfidf,true,13,54,3,11,2,1.0,0.8565121941257636,0.8472583521739185,
reut2-007.sgm-801.txt,25,tfidf,true,23,71,1,16,7,1.0,0.9692849939179684,0.9525851502738593,
reut2-007.sgm-971.txt,26,tfidf,true,14,58,0,3,2,1.0,0.9751170403191689,0.7993171146856227,
reut2-007.sgm-976.txt,27,tfidf,true,12,49,2,10,0,1.0,0.9606684046652811,0.9001551710766155,
reut2-008.sgm-113.txt,22,tfidf,true,11,60,0,3,5,1.0,0.8259795009952569,0.7671473107183213,
reut2-008.sgm-140.txt,21,tfidf,true,11,78,1,9,3,1.0,0.9486878372376263,0.8930877441298876,
reut2-008.sgm-389.txt,23,tfidf,true,12,65,4,10,6,1.0,0.7018129520944455,0.6861927103990251,
reut2-008.sgm-484.txt,23,tfidf,true,13,65,10,4,5,1.0,0.9969688016936223,0.968117191651724,
reut2-008.sgm-515.txt,22,tfidf,true,11,52,1,2,7,1.0,0.9492167157468933,0.9111236094630827,
reut2-008.sgm-599.txt,25,tfidf,true,14,77,6,2,9,1.0,0.912927662709354,0.8192828345317397,
reut2-008.sgm-614.txt,26,tfidf,true,15,51,13,1,12,1.0,0.8717647084111415,0.8056909379191325,
reut2-008.sgm-704.txt,24,tfidf,true,16,74,12,1,14,1.0,0.8332592559667851,0.8198915917499228,
reut2-008.sgm-705.txt,24,tfidf,true,13,31,5,6,10,1.0,0.4808371893863246,0.40148186869295016,
reut2-008.sgm-706.txt,26,tfidf,true,15,65,6,5,10,1.0,0.8595682064672748,0.856275530454562,
reut2-008.sgm-71.txt,22,tfidf,true,13,65,6,1,9,1.0,0.7910623400084389,0.6701227119449459,
reut2-008.sgm-814.txt,27,tfidf,true,13,86,8,1,11,1.0,0.9568985804691647,0.8564669801024938,
reut2-008.sgm-880.txt,28,tfidf,true,13,67,10,4,1,1.0,0.9125670801616431,0.9082152810165971,
reut2-008.sgm-939.txt,25,tfidf,true,16,69,1,6,14,1.0,0.9045777299741682,0.6796738348201524,
reut2-008.sgm-99.txt,30,tfidf,true,16,54,4,7,12,1.0,0.773198436820765,0.7477433744736209,
reut2-009.sgm-207.txt,25,tfidf,true,13,61,8,0,6,1.0,0.8436453655136738,0.761319916891409,
reut2-009.sgm-405.txt,26,tfidf,true,18,77,3,14,6,1.0,0.8551824300185319,0.6573283358461512,
reut2-009.sgm-463.txt,22,tfidf,true,12,60,6,2,1,1.0,0.8211087949712832,0.764077894524986,
reut2-009.sgm-534.txt,22,tfidf,true,11,66,1,0,6,1.0,0.9487649138996095,0.9096524618069792,
reut2-009.sgm-54.txt,24,tfidf,true,15,94,7,11,9,1.0,0.9654335702397611,0.8899518541704167,
reut2-009.sgm-582.txt,28,tfidf,true,12,66,2,3,1,1.0,0.7830896360240944,0.7594979374177295,
reut2-009.sgm-616.txt,26,tfidf,true,18,70,14,8,0,1.0,0.9647632509861913,0.933781636066018,
reut2-009.sgm-671.txt,22,tfidf,true,11,61,5,2,0,1.0,0.9021937088963181,0.8037541115506823,
reut2-009.sgm-687.txt,23,tfidf,true,19,52,3,16,0,1.0,0.9994685091306729,0.816134963220577,
reut2-009.sgm-700.txt,24,tfidf,true,13,70,1,10,7,1.0,0.8854248190317291,0.81824684355988,
reut2-009.sgm-703.txt,23,tfidf,true,16,62,0,12,14,1.0,0.9288660242857947,0.7828142070020453,
reut2-009.sgm-768.txt,25,tfidf,true,13,65,3,10,7,1.0,0.922285073118697,0.876523064686166,
reut2-009.sgm-769.txt,24,tfidf,true,13,44,5,9,0,1.0,0.9259210305923921,0.820376734952073,
reut2-009.sgm-781.txt,34,tfidf,true,18,80,11,9,6,1.0,0.894041772772743,0.8627740000212654,
reut2-010.sgm-121.txt,23,tfidf,true,11,61,4,7,3,1.0,0.8406392405820046,0.7695357879431618,
reut2-010.sgm-132.txt,28,tfidf,true,15,59,11,9,3,1.0,0.7888282449304157,0.7696499926012548,
reut2-010.sgm-140.txt,23,tfidf,true,14,56,0,5,3,1.0,0.7233805436366415,0.6734449864860215,
